,battingPoints,bonusPoints,bowlingPoints,fieldingPoints,matchDesc,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
0,5,60,0,0,mi vs csk,7894,1,Ms Dhoni (csk),csk,5,0,0
1,2,60,8,0,mi vs csk,7894,9,Ravindra Jadeja (csk),csk,2,0,0
2,4,35,0,0,mi vs csk,7894,14,Suresh Raina (csk),csk,4,0,0
3,117,60,19,0,mi vs csk,7894,25,Dwayne Bravo (csk),csk,117,0,0
4,27,60,0,10,mi vs csk,7894,100,Ambati Rayudu (csk),csk,27,0,0
5,8,25,13,10,mi vs csk,7894,103,Harbhajan Singh (csk),csk,8,0,0
6,7,70,0,10,mi vs csk,7894,107,Rohit Sharma (mi),mi,0,0,10
7,60,45,0,10,mi vs csk,7894,108,Suryakumar Yadav (mi),mi,0,0,10
8,-5,25,47,0,mi vs csk,7894,140,Deepak Chahar (csk),csk,-5,0,0
9,0,5,0,0,mi vs csk,7894,210,Kieron Pollard (mi),mi,0,0,0
10,23,85,72,0,mi vs csk,7894,227,Shane Watson (csk),csk,23,0,0
11,33,5,0,0,mi vs csk,7894,297,Kedar Jadhav (csk),csk,33,0,0
12,0,20,15,0,mi vs csk,7894,730,Mitchell Mcclenaghan (mi),mi,0,15,0
13,-5,20,0,10,mi vs csk,7894,872,Evin Lewis (mi),mi,0,0,10
14,2,20,14,0,mi vs csk,7894,898,Imran Tahir (csk),csk,2,0,0
15,0,20,35,10,mi vs csk,7894,1124,Jasprit Bumrah (mi),mi,0,35,10
16,0,5,18,10,mi vs csk,7894,1594,Mustafizur Rahman (mi),mi,0,18,10
17,27,45,102,0,mi vs csk,7894,2740,Hardik Pandya (mi),mi,0,102,0
18,1,5,-9,10,mi vs csk,7894,2749,Mark Wood (csk),csk,1,0,0
19,57,20,0,15,mi vs csk,7894,2975,Ishan Kishan (mi),mi,0,0,15
20,65,20,0,10,mi vs csk,7894,3183,Krunal Pandya (mi),mi,0,0,10
21,0,20,101,0,mi vs csk,7894,4951,Mayank Markande (mi),mi,0,101,0
22,0,15,0,0,mi vs csk,7894,1118,Karn Sharma (csk),csk,0,0,0
23,0,0,0,0,mi vs csk,7894,7,Murali Vijay (csk),csk,0,0,0
24,0,35,34,0,kxp vs dd,7895,8,Ravichandran Ashwin (kxp),kxp,0,0,0
25,0,10,-6,0,kxp vs dd,7895,30,Amit Mishra (dd),dd,0,-6,0
26,82,5,0,0,kxp vs dd,7895,84,Gautam Gambhir (dd),dd,0,0,0
27,0,5,-12,20,kxp vs dd,7895,94,Mohammed Shami (dd),dd,0,-12,20
28,-3,25,0,0,kxp vs dd,7895,113,Yuvraj Singh (kxp),kxp,-3,0,0
29,9,35,0,0,kxp vs dd,7895,158,Mayank Agarwal (kxp),kxp,9,0,0
30,20,5,36,0,kxp vs dd,7895,181,Dan Christian (dd),dd,0,36,0
31,29,10,0,0,kxp vs dd,7895,187,David Miller (kxp),kxp,29,0,0
32,84,35,0,0,kxp vs dd,7895,276,Karun Nair (kxp),kxp,84,0,0
33,4,10,0,0,kxp vs dd,7895,773,Colin Munro (dd),dd,0,0,0
34,49,0,33,0,kxp vs dd,7895,836,Chris Morris (dd),dd,0,33,0
35,27,10,10,0,kxp vs dd,7895,964,Marcus Stoinis (kxp),kxp,27,0,0
36,0,15,36,10,kxp vs dd,7895,969,Trent Boult (dd),dd,0,36,10
37,18,15,0,10,kxp vs dd,7895,1083,Vijay Shankar (dd),dd,0,0,10
38,0,15,60,0,kxp vs dd,7895,1107,Mohit Sharma (kxp),kxp,0,0,0
39,0,10,13,10,kxp vs dd,7895,1113,Axar Patel (kxp),kxp,0,0,0
40,94,85,0,10,kxp vs dd,7895,1125,Lokesh Rahul (kxp),kxp,94,0,0
41,0,35,12,10,kxp vs dd,7895,1480,Andrew Tye (kxp),kxp,0,0,0
42,18,40,0,0,kxp vs dd,7895,1563,Shreyas Iyer (dd),dd,0,0,0
43,9,10,39,0,kxp vs dd,7895,1749,Rahul Tewatia (dd),dd,0,39,0
44,55,40,0,0,kxp vs dd,7895,2972,Rishabh Pant (dd),dd,0,0,0
45,0,60,69,10,kxp vs dd,7895,4572,Mujeeb Ur Rahman (kxp),kxp,0,0,0
46,0,25,0,0,kxp vs dd,7895,167,Aaron Finch (kxp),kxp,0,0,0
47,0,15,0,0,kxp vs dd,7895,282,Glenn Maxwell (dd),dd,0,0,0
48,0,40,73,0,kkr vs rcb,7896,59,Umesh Yadav (rcb),rcb,0,73,0
49,66,15,0,0,kkr vs rcb,7896,72,Mandeep Singh (rcb),rcb,0,0,0
50,0,25,40,0,kkr vs rcb,7896,76,Piyush Chawla (kkr),kkr,0,0,0
51,50,25,0,0,kkr vs rcb,7896,102,Dinesh Karthik (kkr),kkr,50,0,0
52,0,15,11,0,kkr vs rcb,7896,111,Yuzvendra Chahal (rcb),rcb,0,11,0
53,20,25,0,0,kkr vs rcb,7896,127,Robin Uthappa (kkr),kkr,20,0,0
54,33,15,0,0,kkr vs rcb,7896,164,Virat Kohli (rcb),rcb,0,0,0
55,6,5,41,10,kkr vs rcb,7896,166,Vinay Kumar (kkr),kkr,6,0,0
56,22,25,17,10,kkr vs rcb,7896,177,Andre Russell (kkr),kkr,22,0,0
57,5,50,0,0,kkr vs rcb,7896,179,Chris Lynn (kkr),kkr,5,0,0
58,67,10,0,10,kkr vs rcb,7896,202,Brendon Mccullum (rcb),rcb,0,0,10
59,95,75,39,0,kkr vs rcb,7896,203,Sunil Narine (kkr),kkr,95,0,0
60,0,15,42,10,kkr vs rcb,7896,213,Mitchell Johnson (kkr),kkr,0,0,0
61,74,35,0,20,kkr vs rcb,7896,233,Ab De Villiers (rcb),rcb,0,0,20
62,0,25,-6,10,kkr vs rcb,7896,261,Kuldeep Yadav (kkr),kkr,0,0,0
63,4,15,0,10,kkr vs rcb,7896,834,Quinton De Kock (rcb),rcb,0,0,10
64,5,10,100,0,kkr vs rcb,7896,967,Chris Woakes (rcb),rcb,0,100,0
65,6,5,0,0,kkr vs rcb,7896,1564,Sarfaraz Khan (rcb),rcb,0,0,0
66,53,70,43,0,kkr vs rcb,7896,2738,Nitish Rana (kkr),kkr,53,0,0
67,0,15,14,0,kkr vs rcb,7896,2973,Washington Sundar (rcb),rcb,0,14,0
68,6,10,0,10,kkr vs rcb,7896,3830,Rinku Singh (kkr),kkr,6,0,0
69,0,5,11,0,kkr vs rcb,7896,3835,Kulwant Khejroliya (rcb),rcb,0,11,0
70,5,35,0,10,sh vs rr,7897,16,Wriddhiman Saha (sh),sh,5,0,0
71,115,60,0,0,sh vs rr,7897,41,Shikhar Dhawan (sh),sh,115,0,0
72,1,15,33,0,sh vs rr,7897,86,Jaydev Unadkat (rr),rr,0,33,0
73,0,35,0,20,sh vs rr,7897,96,Yusuf Pathan (sh),sh,0,0,0
74,3,15,22,0,sh vs rr,7897,101,Dhawal Kulkarni (rr),rr,0,22,0
75,0,20,40,0,sh vs rr,7897,116,Bhuvneshwar Kumar (sh),sh,0,0,0
76,0,35,0,10,sh vs rr,7897,123,Manish Pandey (sh),sh,0,0,0
77,18,15,0,0,sh vs rr,7897,135,Ajinkya Rahane (rr),rr,0,0,0
78,0,35,69,0,sh vs rr,7897,201,Shakib Al Hasan (sh),sh,0,0,0
79,64,65,0,0,sh vs rr,7897,258,Sanju Samson (rr),rr,0,0,0
80,53,85,0,20,sh vs rr,7897,440,Kane Williamson (sh),sh,53,0,0
81,6,15,0,0,sh vs rr,7897,509,Jos Buttler (rr),rr,0,0,0
82,1,10,9,10,sh vs rr,7897,921,Ben Laughlin (rr),rr,0,9,10
83,0,35,76,0,sh vs rr,7897,1086,Siddarth Kaul (sh),sh,0,0,0
84,5,15,-6,0,sh vs rr,7897,1154,Ben Stokes (rr),rr,0,-6,0
85,0,40,37,0,sh vs rr,7897,1521,Billy Stanlake (sh),sh,0,0,0
86,0,15,0,0,sh vs rr,7897,1556,Deepak Hooda (sh),sh,0,0,0
87,23,15,16,0,sh vs rr,7897,1748,Shreyas Gopal (rr),rr,0,16,0
88,0,110,41,20,sh vs rr,7897,2885,Rashid Khan (sh),sh,0,0,0
89,-5,15,8,0,sh vs rr,7897,3834,Krishnappa Gowtham (rr),rr,0,8,0
90,22,15,0,0,sh vs rr,7897,3838,Rahul Tripathi (rr),rr,0,0,0
91,4,10,22,0,sh vs rr,7897,3887,D Arcy Short (rr),rr,0,22,0
92,0,0,0,0,sh vs rr,7897,148,Stuart Binny (rr),rr,0,0,0
93,27,60,0,10,csk vs kkr,7898,1,Ms Dhoni (csk),csk,27,0,0
94,23,60,31,0,csk vs kkr,7898,9,Ravindra Jadeja (csk),csk,23,0,0
95,21,35,0,20,csk vs kkr,7898,14,Suresh Raina (csk),csk,21,0,0
96,28,60,-12,10,csk vs kkr,7898,25,Dwayne Bravo (csk),csk,28,0,0
97,0,25,10,0,csk vs kkr,7898,76,Piyush Chawla (kkr),kkr,0,10,0
98,63,60,0,0,csk vs kkr,7898,100,Ambati Rayudu (csk),csk,63,0,0
99,43,25,0,10,csk vs kkr,7898,102,Dinesh Karthik (kkr),kkr,0,0,10
100,0,25,35,0,csk vs kkr,7898,103,Harbhajan Singh (csk),csk,0,0,0
101,55,25,0,10,csk vs kkr,7898,127,Robin Uthappa (kkr),kkr,0,0,10
102,0,25,-13,0,csk vs kkr,7898,140,Deepak Chahar (csk),csk,0,0,0
103,0,5,-13,10,csk vs kkr,7898,166,Vinay Kumar (kkr),kkr,0,-13,10
104,155,25,12,0,csk vs kkr,7898,177,Andre Russell (kkr),kkr,0,12,0
105,27,50,0,0,csk vs kkr,7898,179,Chris Lynn (kkr),kkr,0,0,0
106,31,75,44,0,csk vs kkr,7898,203,Sunil Narine (kkr),kkr,0,44,0
107,73,85,62,0,csk vs kkr,7898,227,Shane Watson (csk),csk,73,0,0
108,0,25,30,0,csk vs kkr,7898,261,Kuldeep Yadav (kkr),kkr,0,30,0
109,0,20,21,0,csk vs kkr,7898,898,Imran Tahir (csk),csk,0,0,0
110,0,25,36,0,csk vs kkr,7898,1745,Shardul Thakur (csk),csk,0,0,0
111,21,70,0,0,csk vs kkr,7898,2738,Nitish Rana (kkr),kkr,0,0,0
112,101,45,0,0,csk vs kkr,7898,2756,Sam Billings (csk),csk,101,0,0
113,2,10,38,0,csk vs kkr,7898,3646,Tom Curran (kkr),kkr,0,38,0
114,2,10,0,10,csk vs kkr,7898,3830,Rinku Singh (kkr),kkr,0,0,10
115,0,15,0,0,csk vs kkr,7898,1118,Karn Sharma (csk),csk,0,0,0
116,0,0,0,0,csk vs kkr,7898,7,Murali Vijay (csk),csk,0,0,0
117,0,10,59,0,rr vs dd,7899,57,Shahbaz Nadeem (dd),dd,0,0,0
118,0,5,0,0,rr vs dd,7899,84,Gautam Gambhir (dd),dd,0,0,0
119,0,15,15,0,rr vs dd,7899,86,Jaydev Unadkat (rr),rr,0,15,0
120,0,5,40,0,rr vs dd,7899,94,Mohammed Shami (dd),dd,0,0,0
121,0,15,18,0,rr vs dd,7899,101,Dhawal Kulkarni (rr),rr,0,18,0
122,60,15,0,0,rr vs dd,7899,135,Ajinkya Rahane (rr),rr,0,0,0
123,61,65,0,0,rr vs dd,7899,258,Sanju Samson (rr),rr,0,0,0
124,24,15,0,0,rr vs dd,7899,282,Glenn Maxwell (dd),dd,24,0,0
125,53,15,0,10,rr vs dd,7899,509,Jos Buttler (rr),rr,0,0,10
126,-5,10,0,0,rr vs dd,7899,773,Colin Munro (dd),dd,-5,0,0
127,34,0,-5,10,rr vs dd,7899,836,Chris Morris (dd),dd,34,0,0
128,0,10,59,0,rr vs dd,7899,921,Ben Laughlin (rr),rr,0,59,0
129,0,15,34,0,rr vs dd,7899,969,Trent Boult (dd),dd,0,0,0
130,3,15,0,10,rr vs dd,7899,1083,Vijay Shankar (dd),dd,3,0,0
131,23,15,0,10,rr vs dd,7899,1154,Ben Stokes (rr),rr,0,0,10
132,0,40,0,0,rr vs dd,7899,1563,Shreyas Iyer (dd),dd,0,0,0
133,0,15,0,0,rr vs dd,7899,1748,Shreyas Gopal (rr),rr,0,0,0
134,0,10,16,0,rr vs dd,7899,1749,Rahul Tewatia (dd),dd,0,0,0
135,25,40,0,10,rr vs dd,7899,2972,Rishabh Pant (dd),dd,25,0,0
136,2,15,7,20,rr vs dd,7899,3834,Krishnappa Gowtham (rr),rr,0,7,20
137,22,15,0,0,rr vs dd,7899,3838,Rahul Tripathi (rr),rr,0,0,0
138,6,10,0,0,rr vs dd,7899,3887,D Arcy Short (rr),rr,0,0,0
139,0,0,0,0,rr vs dd,7899,148,Stuart Binny (rr),rr,0,0,0
140,27,35,0,0,sh vs mi,7900,16,Wriddhiman Saha (sh),sh,27,0,0
141,65,60,0,10,sh vs mi,7900,41,Shikhar Dhawan (sh),sh,65,0,0
142,0,0,10,0,sh vs mi,7900,91,Pradeep Sangwan (mi),mi,0,10,0
143,19,35,0,10,sh vs mi,7900,96,Yusuf Pathan (sh),sh,19,0,0
144,18,70,0,10,sh vs mi,7900,107,Rohit Sharma (mi),mi,0,0,10
145,30,45,0,0,sh vs mi,7900,108,Suryakumar Yadav (mi),mi,0,0,0
146,16,35,0,0,sh vs mi,7900,123,Manish Pandey (sh),sh,16,0,0
147,17,35,34,10,sh vs mi,7900,201,Shakib Al Hasan (sh),sh,17,0,0
148,47,5,0,10,sh vs mi,7900,210,Kieron Pollard (mi),mi,0,0,10
149,6,85,0,10,sh vs mi,7900,440,Kane Williamson (sh),sh,6,0,0
150,53,20,0,0,sh vs mi,7900,872,Evin Lewis (mi),mi,0,0,0
151,9,15,9,0,sh vs mi,7900,913,Ben Cutting (mi),mi,0,9,0
152,0,35,69,0,sh vs mi,7900,1086,Siddarth Kaul (sh),sh,0,0,0
153,0,25,73,0,sh vs mi,7900,1112,Sandeep Sharma (sh),sh,0,0,0
154,4,20,66,10,sh vs mi,7900,1124,Jasprit Bumrah (mi),mi,0,66,10
155,5,40,53,0,sh vs mi,7900,1521,Billy Stanlake (sh),sh,5,0,0
156,49,15,0,10,sh vs mi,7900,1556,Deepak Hooda (sh),sh,49,0,0
157,0,5,100,10,sh vs mi,7900,1594,Mustafizur Rahman (mi),mi,0,100,10
158,0,110,53,0,sh vs mi,7900,2885,Rashid Khan (sh),sh,0,0,0
159,9,20,0,20,sh vs mi,7900,2975,Ishan Kishan (mi),mi,0,0,20
160,25,20,18,10,sh vs mi,7900,3183,Krunal Pandya (mi),mi,0,18,10
161,6,20,131,0,sh vs mi,7900,4951,Mayank Markande (mi),mi,0,131,0
162,55,35,71,0,rcb vs kxp,7901,8,Ravichandran Ashwin (kxp),kxp,0,71,0
163,0,40,103,0,rcb vs kxp,7901,59,Umesh Yadav (rcb),rcb,0,0,0
164,27,15,0,0,rcb vs kxp,7901,72,Mandeep Singh (rcb),rcb,27,0,0
165,0,15,31,0,rcb vs kxp,7901,111,Yuzvendra Chahal (rcb),rcb,0,0,0
166,4,25,0,0,rcb vs kxp,7901,113,Yuvraj Singh (kxp),kxp,0,0,0
167,20,35,0,0,rcb vs kxp,7901,158,Mayank Agarwal (kxp),kxp,0,0,0
168,26,15,0,10,rcb vs kxp,7901,164,Virat Kohli (rcb),rcb,26,0,0
169,-5,25,0,0,rcb vs kxp,7901,167,Aaron Finch (kxp),kxp,0,0,0
170,-5,10,0,0,rcb vs kxp,7901,202,Brendon Mccullum (rcb),rcb,-5,0,0
171,90,35,0,0,rcb vs kxp,7901,233,Ab De Villiers (rcb),rcb,90,0,0
172,44,35,0,20,rcb vs kxp,7901,276,Karun Nair (kxp),kxp,0,0,20
173,62,15,0,40,rcb vs kxp,7901,834,Quinton De Kock (rcb),rcb,62,0,0
174,18,10,0,0,rcb vs kxp,7901,964,Marcus Stoinis (kxp),kxp,0,0,0
175,1,10,47,0,rcb vs kxp,7901,967,Chris Woakes (rcb),rcb,1,0,0
176,1,15,-12,0,rcb vs kxp,7901,1107,Mohit Sharma (kxp),kxp,0,-12,0
177,2,10,40,0,rcb vs kxp,7901,1113,Axar Patel (kxp),kxp,0,40,0
178,75,85,0,0,rcb vs kxp,7901,1125,Lokesh Rahul (kxp),kxp,0,0,0
179,7,35,37,0,rcb vs kxp,7901,1480,Andrew Tye (kxp),kxp,0,37,0
180,-5,5,0,20,rcb vs kxp,7901,1564,Sarfaraz Khan (rcb),rcb,-5,0,0
181,9,15,68,0,rcb vs kxp,7901,2973,Washington Sundar (rcb),rcb,9,0,0
182,0,5,63,0,rcb vs kxp,7901,3835,Kulwant Khejroliya (rcb),rcb,0,0,0
183,0,60,41,10,rcb vs kxp,7901,4572,Mujeeb Ur Rahman (kxp),kxp,0,41,10
184,0,10,-6,0,mi vs dd,7902,57,Shahbaz Nadeem (dd),dd,0,0,0
185,5,5,0,0,mi vs dd,7902,84,Gautam Gambhir (dd),dd,5,0,0
186,0,5,35,0,mi vs dd,7902,94,Mohammed Shami (dd),dd,0,0,0
187,23,70,0,10,mi vs dd,7902,107,Rohit Sharma (mi),mi,0,0,10
188,85,45,0,0,mi vs dd,7902,108,Suryakumar Yadav (mi),mi,0,0,0
189,0,5,45,0,mi vs dd,7902,181,Dan Christian (dd),dd,0,0,0
190,-5,5,0,10,mi vs dd,7902,210,Kieron Pollard (mi),mi,0,0,10
191,30,15,15,0,mi vs dd,7902,282,Glenn Maxwell (dd),dd,30,0,0
192,4,0,-4,0,mi vs dd,7902,588,Akila Dananjaya (mi),mi,0,-4,0
193,76,20,0,0,mi vs dd,7902,872,Evin Lewis (mi),mi,0,0,0
194,0,15,62,0,mi vs dd,7902,969,Trent Boult (dd),dd,0,0,0
195,0,15,0,0,mi vs dd,7902,1083,Vijay Shankar (dd),dd,0,0,0
196,0,20,19,0,mi vs dd,7902,1124,Jasprit Bumrah (mi),mi,0,19,0
197,44,40,0,10,mi vs dd,7902,1563,Shreyas Iyer (dd),dd,44,0,0
198,0,5,41,0,mi vs dd,7902,1594,Mustafizur Rahman (mi),mi,0,41,0
199,0,10,63,10,mi vs dd,7902,1749,Rahul Tewatia (dd),dd,0,0,0
200,143,30,0,20,mi vs dd,7902,1906,Jason Roy (dd),dd,143,0,0
201,2,45,-13,10,mi vs dd,7902,2740,Hardik Pandya (mi),mi,0,-13,10
202,71,40,0,0,mi vs dd,7902,2972,Rishabh Pant (dd),dd,71,0,0
203,68,20,0,0,mi vs dd,7902,2975,Ishan Kishan (mi),mi,0,0,0
204,16,20,68,0,mi vs dd,7902,3183,Krunal Pandya (mi),mi,0,68,0
205,4,20,-13,0,mi vs dd,7902,4951,Mayank Markande (mi),mi,0,-13,0
206,34,35,0,20,kkr vs sh,7903,16,Wriddhiman Saha (sh),sh,34,0,0
207,7,60,0,0,kkr vs sh,7903,41,Shikhar Dhawan (sh),sh,7,0,0
208,0,25,45,0,kkr vs sh,7903,76,Piyush Chawla (kkr),kkr,0,45,0
209,34,35,0,0,kkr vs sh,7903,96,Yusuf Pathan (sh),sh,34,0,0
210,46,25,0,10,kkr vs sh,7903,102,Dinesh Karthik (kkr),kkr,0,0,10
211,0,20,103,10,kkr vs sh,7903,116,Bhuvneshwar Kumar (sh),sh,0,0,0
212,4,35,0,20,kkr vs sh,7903,123,Manish Pandey (sh),sh,4,0,0
213,3,25,0,0,kkr vs sh,7903,127,Robin Uthappa (kkr),kkr,0,0,0
214,11,25,-11,10,kkr vs sh,7903,177,Andre Russell (kkr),kkr,0,-11,10
215,66,50,0,0,kkr vs sh,7903,179,Chris Lynn (kkr),kkr,0,0,0
216,44,35,71,20,kkr vs sh,7903,201,Shakib Al Hasan (sh),sh,44,0,0
217,9,75,76,0,kkr vs sh,7903,203,Sunil Narine (kkr),kkr,0,76,0
218,4,15,34,0,kkr vs sh,7903,213,Mitchell Johnson (kkr),kkr,0,34,0
219,0,25,38,0,kkr vs sh,7903,261,Kuldeep Yadav (kkr),kkr,0,38,0
220,77,85,0,10,kkr vs sh,7903,440,Kane Williamson (sh),sh,77,0,0
221,0,35,35,0,kkr vs sh,7903,1086,Siddarth Kaul (sh),sh,0,0,0
222,0,40,75,0,kkr vs sh,7903,1521,Billy Stanlake (sh),sh,0,0,0
223,5,15,0,0,kkr vs sh,7903,1556,Deepak Hooda (sh),sh,5,0,0
224,25,70,0,0,kkr vs sh,7903,2738,Nitish Rana (kkr),kkr,0,0,0
225,0,110,15,0,kkr vs sh,7903,2885,Rashid Khan (sh),sh,0,0,0
226,3,20,0,0,kkr vs sh,7903,3761,Shubman Gill (kkr),kkr,0,0,0
227,7,20,6,0,kkr vs sh,7903,3779,Shivam Mavi (kkr),kkr,0,6,0
228,3,0,-13,0,rcb vs rr,7904,53,Pawan Negi (rcb),rcb,3,0,0
229,0,40,-10,10,rcb vs rr,7904,59,Umesh Yadav (rcb),rcb,0,0,0
230,69,15,0,0,rcb vs rr,7904,72,Mandeep Singh (rcb),rcb,69,0,0
231,0,15,-8,20,rcb vs rr,7904,86,Jaydev Unadkat (rr),rr,0,-8,20
232,0,15,-14,0,rcb vs rr,7904,101,Dhawal Kulkarni (rr),rr,0,-14,0
233,0,15,72,0,rcb vs rr,7904,111,Yuzvendra Chahal (rcb),rcb,0,0,0
234,58,15,0,0,rcb vs rr,7904,135,Ajinkya Rahane (rr),rr,0,0,0
235,91,15,0,10,rcb vs rr,7904,164,Virat Kohli (rcb),rcb,91,0,0
236,4,10,0,0,rcb vs rr,7904,202,Brendon Mccullum (rcb),rcb,4,0,0
237,27,35,0,0,rcb vs rr,7904,233,Ab De Villiers (rcb),rcb,27,0,0
238,157,65,0,0,rcb vs rr,7904,258,Sanju Samson (rr),rr,0,0,0
239,35,15,0,10,rcb vs rr,7904,509,Jos Buttler (rr),rr,0,0,10
240,41,15,0,10,rcb vs rr,7904,834,Quinton De Kock (rcb),rcb,41,0,0
241,0,10,15,0,rcb vs rr,7904,921,Ben Laughlin (rr),rr,0,15,0
242,0,10,47,0,rcb vs rr,7904,967,Chris Woakes (rcb),rcb,0,0,0
243,44,15,17,10,rcb vs rr,7904,1154,Ben Stokes (rr),rr,0,17,10
244,0,15,71,0,rcb vs rr,7904,1748,Shreyas Gopal (rr),rr,0,71,0
245,61,15,17,0,rcb vs rr,7904,2973,Washington Sundar (rcb),rcb,61,0,0
246,0,15,33,0,rcb vs rr,7904,3834,Krishnappa Gowtham (rr),rr,0,33,0
247,0,5,-11,0,rcb vs rr,7904,3835,Kulwant Khejroliya (rcb),rcb,0,0,0
248,31,15,0,0,rcb vs rr,7904,3838,Rahul Tripathi (rr),rr,0,0,0
249,-4,10,26,10,rcb vs rr,7904,3887,D Arcy Short (rr),rr,0,26,10
250,129,60,0,20,kxp vs csk,7905,1,Ms Dhoni (csk),csk,129,0,0
251,19,0,0,0,kxp vs csk,7905,7,Murali Vijay (csk),csk,19,0,0
252,21,35,36,20,kxp vs csk,7905,8,Ravichandran Ashwin (kxp),kxp,0,36,20
253,26,60,0,20,kxp vs csk,7905,9,Ravindra Jadeja (csk),csk,26,0,0
254,1,60,29,10,kxp vs csk,7905,25,Dwayne Bravo (csk),csk,1,0,0
255,66,60,0,0,kxp vs csk,7905,100,Ambati Rayudu (csk),csk,66,0,0
256,0,25,18,0,kxp vs csk,7905,103,Harbhajan Singh (csk),csk,0,0,0
257,32,25,5,0,kxp vs csk,7905,113,Yuvraj Singh (kxp),kxp,0,5,0
258,0,25,-7,0,kxp vs csk,7905,140,Deepak Chahar (csk),csk,0,0,0
259,54,35,0,0,kxp vs csk,7905,158,Mayank Agarwal (kxp),kxp,0,0,0
260,-5,25,0,0,kxp vs csk,7905,167,Aaron Finch (kxp),kxp,0,0,0
261,16,85,33,0,kxp vs csk,7905,227,Shane Watson (csk),csk,16,0,0
262,101,75,0,0,kxp vs csk,7905,236,Chris Gayle (kxp),kxp,0,0,0
263,51,35,0,0,kxp vs csk,7905,276,Karun Nair (kxp),kxp,0,0,0
264,0,20,66,10,kxp vs csk,7905,898,Imran Tahir (csk),csk,0,0,0
265,0,15,18,0,kxp vs csk,7905,1107,Mohit Sharma (kxp),kxp,0,18,0
266,57,85,0,0,kxp vs csk,7905,1125,Lokesh Rahul (kxp),kxp,0,0,0
267,3,35,45,0,kxp vs csk,7905,1480,Andrew Tye (kxp),kxp,0,45,0
268,0,25,44,0,kxp vs csk,7905,1745,Shardul Thakur (csk),csk,0,0,0
269,0,25,15,20,kxp vs csk,7905,2746,Barinder Sran (kxp),kxp,0,15,20
270,9,45,0,0,kxp vs csk,7905,2756,Sam Billings (csk),csk,9,0,0
271,0,60,15,0,kxp vs csk,7905,4572,Mujeeb Ur Rahman (kxp),kxp,0,15,0
272,6,10,17,10,kkr vs dd,7906,57,Shahbaz Nadeem (dd),dd,6,0,0
273,0,25,35,10,kkr vs dd,7906,76,Piyush Chawla (kkr),kkr,0,35,10
274,8,5,0,10,kkr vs dd,7906,84,Gautam Gambhir (dd),dd,8,0,0
275,7,5,10,0,kkr vs dd,7906,94,Mohammed Shami (dd),dd,7,0,0
276,31,25,0,15,kkr vs dd,7906,102,Dinesh Karthik (kkr),kkr,0,0,15
277,61,25,0,10,kkr vs dd,7906,127,Robin Uthappa (kkr),kkr,0,0,10
278,78,25,10,20,kkr vs dd,7906,177,Andre Russell (kkr),kkr,0,10,20
279,48,50,0,0,kkr vs dd,7906,179,Chris Lynn (kkr),kkr,0,0,0
280,1,75,96,0,kkr vs dd,7906,203,Sunil Narine (kkr),kkr,0,96,0
281,0,25,91,10,kkr vs dd,7906,261,Kuldeep Yadav (kkr),kkr,0,91,10
282,80,15,0,20,kkr vs dd,7906,282,Glenn Maxwell (dd),dd,80,0,0
283,2,0,51,10,kkr vs dd,7906,836,Chris Morris (dd),dd,2,0,0
284,0,15,93,10,kkr vs dd,7906,969,Trent Boult (dd),dd,0,0,0
285,2,15,-8,0,kkr vs dd,7906,1083,Vijay Shankar (dd),dd,2,0,0
286,4,40,0,0,kkr vs dd,7906,1563,Shreyas Iyer (dd),dd,4,0,0
